cause,date,year,state
Gunfire,1970-01-01,1970, CA
Vehicular assault,1970-01-02,1970, NC
Automobile accident,1970-01-03,1970, CA
Gunfire,1970-01-06,1970, US
Gunfire,1970-01-08,1970, VA
Automobile accident,1970-01-09,1970, GA
Gunfire,1970-01-13,1970, CA
Gunfire,1970-01-13,1970, TX
Gunfire,1970-01-15,1970, MI
Assault,1970-01-16,1970, CA
Struck by vehicle,1970-01-16,1970, MD
Gunfire,1970-01-18,1970, GA
Gunfire,1970-01-19,1970, PR
Gunfire,1970-01-23,1970, MO
Gunfire,1970-01-24,1970, MI
Gunfire,1970-01-25,1970, OH
Automobile accident,1970-01-25,1970, VA
Gunfire,1970-01-27,1970, CA
Gunfire,1970-01-28,1970, IL
Heart attack,1970-01-30,1970, MA
Gunfire,1970-01-30,1970, PA
Gunfire,1970-01-30,1970, TX
Gunfire,1970-01-31,1970, CT
Gunfire,1970-01-31,1970, TX
Struck by vehicle,1970-02-02,1970, MA
Gunfire,1970-02-06,1970, GA
Gunfire,1970-02-06,1970, NC
Automobile accident,1970-02-06,1970, NY
Gunfire,1970-02-07,1970, TX
Automobile accident,1970-02-08,1970, NY
Automobile accident,1970-02-10,1970, VA
Vehicle pursuit,1970-02-13,1970, CA
Gunfire,1970-02-17,1970, CA
Bomb,1970-02-18,1970, CA
Automobile accident,1970-02-21,1970, MO
Motorcycle accident,1970-02-28,1970, FL
Gunfire,1970-02-28,1970, NY
Aircraft accident,1970-03-01,1970, NY
Aircraft accident,1970-03-01,1970, NY
Exposure to toxins,1970-03-01,1970, NY
Gunfire,1970-03-03,1970, IL
Struck by train,1970-03-06,1970, ID
Gunfire,1970-03-11,1970, MI
Heart attack,1970-03-13,1970, IL
Gunfire,1970-03-13,1970, NJ
Automobile accident,1970-03-17,1970, NY
Aircraft accident,1970-03-18,1970, FL
Gunfire,1970-03-20,1970, LA
Vehicle pursuit,1970-03-20,1970, OH
Gunfire,1970-03-24,1970, MD
Motorcycle accident,1970-03-25,1970, OK
Vehicular assault,1970-03-27,1970, IN
Gunfire,1970-03-29,1970, GA
Gunfire,1970-03-29,1970, GA
Gunfire (Accidental),1970-04-02,1970, IL
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, VA
Gunfire,1970-04-06,1970, PA
Vehicle pursuit,1970-04-11,1970, GA
Vehicular assault,1970-04-11,1970, NY
Assault,1970-04-18,1970, IL
Gunfire,1970-04-23,1970, CA
Automobile accident,1970-04-23,1970, NH
Automobile accident,1970-04-23,1970, NH
Gunfire,1970-04-24,1970, MD
Gunfire,1970-04-29,1970, MI
Gunfire,1970-04-29,1970, MI
Fall,1970-04-30,1970, CA
Automobile accident,1970-05-01,1970, NY
Struck by train,1970-05-02,1970, UT
Gunfire,1970-05-04,1970, NC
Motorcycle accident,1970-05-05,1970, MS
Automobile accident,1970-05-05,1970, VA
Gunfire,1970-05-09,1970, SC
Gunfire,1970-05-09,1970, SC
Fall,1970-05-09,1970, US
Vehicle pursuit,1970-05-11,1970, LA
Gunfire,1970-05-13,1970, CA
Exposure to toxins,1970-05-19,1970, TX
Exposure to toxins,1970-05-19,1970, TX
Automobile accident,1970-05-22,1970, AZ
Assault,1970-05-22,1970, CA
Gunfire,1970-05-22,1970, MN
Gunfire,1970-05-23,1970, FL
Automobile accident,1970-05-24,1970, AL
Gunfire,1970-05-25,1970, NY
Gunfire,1970-05-26,1970, IL
Heart attack,1970-05-28,1970, NH
Heart attack,1970-05-28,1970, NJ
Stabbed,1970-05-28,1970, NY
Struck by vehicle,1970-05-30,1970, CA
Gunfire,1970-06-01,1970, IL
Gunfire,1970-06-02,1970, IL
Gunfire,1970-06-02,1970, IN
Struck by vehicle,1970-06-03,1970, AL
Gunfire,1970-06-03,1970, AL
Gunfire,1970-06-03,1970, GA
Gunfire,1970-06-05,1970, CA
Gunfire,1970-06-07,1970, IN
Gunfire,1970-06-07,1970, IN
Struck by train,1970-06-10,1970, RR
Weather/Natural disaster,1970-06-12,1970, MO
Gunfire,1970-06-14,1970, IN
Gunfire,1970-06-15,1970, ID
Assault,1970-06-15,1970, NY
Gunfire,1970-06-19,1970, CA
Gunfire,1970-06-19,1970, IL
Automobile accident,1970-06-21,1970, NJ
Vehicular assault,1970-06-21,1970, TX
Gunfire,1970-06-26,1970, MS
Gunfire,1970-06-28,1970, OK
Gunfire,1970-07-01,1970, AL
Gunfire,1970-07-01,1970, NJ
Automobile accident,1970-07-02,1970, NY
Assault,1970-07-09,1970, PA
Heart attack,1970-07-10,1970, DE
Assault,1970-07-10,1970, MO
Vehicle pursuit,1970-07-12,1970, FL
Gunfire,1970-07-12,1970, KY
Automobile accident,1970-07-12,1970, LA
Automobile accident,1970-07-15,1970, IL
Automobile accident,1970-07-16,1970, IL
Gunfire,1970-07-17,1970, IL
Gunfire,1970-07-17,1970, IL
Stabbed,1970-07-23,1970, CA
Assault,1970-07-24,1970, CA
Motorcycle accident,1970-07-24,1970, TX
Automobile accident,1970-07-25,1970, FL
Gunfire,1970-07-27,1970, IA
Automobile accident,1970-07-27,1970, SC
Gunfire,1970-07-28,1970, OK
Heart attack,1970-07-31,1970, MA
Duty related illness,1970-07-31,1970, OH
Gunfire,1970-08-06,1970, CA
Aircraft accident,1970-08-06,1970, OH
Bicycle accident,1970-08-08,1970, FL
Gunfire,1970-08-11,1970, OH
Vehicle pursuit,1970-08-13,1970, FL
Gunfire,1970-08-16,1970, IL
Bomb,1970-08-17,1970, NE
Automobile accident,1970-08-18,1970, CA
Gunfire,1970-08-20,1970, CA
Vehicle pursuit,1970-08-21,1970, AL
Gunfire,1970-08-22,1970, SC
Vehicle pursuit,1970-08-23,1970, NC
Vehicular assault,1970-08-26,1970, LA
Gunfire,1970-08-29,1970, GA
Gunfire,1970-08-29,1970, PA
Gunfire,1970-08-30,1970, OH
Gunfire,1970-09-01,1970, NC
Vehicular assault,1970-09-04,1970, NJ
Gunfire,1970-09-04,1970, TX
Drowned,1970-09-05,1970, AZ
Vehicle pursuit,1970-09-05,1970, OH
Stabbed,1970-09-07,1970, NY
Gunfire,1970-09-09,1970, NY
Gunfire,1970-09-10,1970, PR
Gunfire,1970-09-12,1970, US
Automobile accident,1970-09-13,1970, FL
Vehicular assault,1970-09-14,1970, VA
Gunfire,1970-09-18,1970, FL
Gunfire,1970-09-18,1970, OH
Motorcycle accident,1970-09-22,1970, TN
Stabbed,1970-09-23,1970, NY
Gunfire (Accidental),1970-09-23,1970, WI
Gunfire,1970-09-24,1970, MA
Automobile accident,1970-09-26,1970, IL
Vehicle pursuit,1970-09-26,1970, SC
Vehicle pursuit,1970-09-26,1970, SC
Automobile accident,1970-09-26,1970, TN
Vehicular assault,1970-09-27,1970, AR
Gunfire,1970-09-28,1970, OH
Gunfire,1970-10-01,1970, NJ
Motorcycle accident,1970-10-02,1970, NJ
Struck by vehicle,1970-10-02,1970, TX
Gunfire,1970-10-05,1970, WV
Gunfire,1970-10-07,1970, NY
Gunfire,1970-10-09,1970, CA
Aircraft accident,1970-10-09,1970, NY
Vehicle pursuit,1970-10-10,1970, AL
Boating accident,1970-10-13,1970, NY
Assault,1970-10-14,1970, US
Gunfire,1970-10-14,1970, PA
Gunfire,1970-10-16,1970, IL
Gunfire,1970-10-18,1970, GA
Gunfire,1970-10-18,1970, NC
Struck by vehicle,1970-10-18,1970, VA
Gunfire,1970-10-19,1970, CA
Gunfire,1970-10-22,1970, NY
Vehicular assault,1970-10-23,1970, CA
Gunfire,1970-10-24,1970, MI
Automobile accident,1970-10-25,1970, AL
Gunfire,1970-10-26,1970, MS
Automobile accident,1970-10-28,1970, OH
Heart attack,1970-10-31,1970, KY
Gunfire,1970-11-02,1970, OK
Fall,1970-11-03,1970, LA
Vehicle pursuit,1970-11-08,1970, NC
Automobile accident,1970-11-08,1970, WI
Motorcycle accident,1970-11-09,1970, AL
Motorcycle accident,1970-11-09,1970, MS
Gunfire,1970-11-09,1970, NY
Gunfire (Accidental),1970-11-10,1970, OH
Vehicle pursuit,1970-11-11,1970, TX
Assault,1970-11-17,1970, WA
Struck by train,1970-11-19,1970, NJ
Gunfire,1970-11-20,1970, IL
Automobile accident,1970-11-21,1970, NY
Gunfire (Accidental),1970-11-22,1970, US
Gunfire (Accidental),1970-11-27,1970, OH
Gunfire,1970-12-03,1970, MI
Gunfire,1970-12-07,1970, WI
Gunfire,1970-12-08,1970, CA
Heart attack,1970-12-08,1970, MI
Struck by train,1970-12-09,1970, CA
Gunfire,1970-12-12,1970, PA
Gunfire,1970-12-17,1970, PA
Drowned,1970-12-19,1970, CA
Struck by vehicle,1970-12-21,1970, PA
Gunfire (Accidental),1970-12-23,1970, GA
Assault,1970-12-23,1970, UT
Gunfire,1970-12-25,1970, SC
Gunfire,1970-12-26,1970, AK
Gunfire,1970-12-28,1970, AZ
Motorcycle accident,1970-12-28,1970, AZ
Gunfire,1970-12-29,1970, CA
Gunfire,1970-12-30,1970, OH
Gunfire,1970-12-31,1970, US
Gunfire,1971-01-04,1971, OK
Struck by train,1971-01-08,1971, NJ
Gunfire,1971-01-11,1971, US
Gunfire,1971-01-14,1971, MI
Gunfire,1971-01-15,1971, MI
Gunfire,1971-01-17,1971, GA
Gunfire,1971-01-18,1971, AZ
Gunfire,1971-01-18,1971, AZ
Gunfire (Accidental),1971-01-19,1971, NY
Automobile accident,1971-01-22,1971, DE
Gunfire,1971-01-22,1971, NY
Vehicular assault,1971-01-23,1971, MI
Gunfire,1971-01-24,1971, FL
Automobile accident,1971-01-26,1971, MI
Gunfire,1971-01-28,1971, MN
Automobile accident,1971-01-29,1971, OK
Gunfire,1971-01-30,1971, IL
Gunfire,1971-01-31,1971, TX
Assault,1971-01-31,1971, TX
Gunfire,1971-02-03,1971, MI
Vehicular assault,1971-02-04,1971, MO
Gunfire,1971-02-05,1971, AZ
Gunfire,1971-02-07,1971, AZ
Heart attack,1971-02-07,1971, MO
Automobile accident,1971-02-07,1971, OH
Automobile accident,1971-02-07,1971, OH
Motorcycle accident,1971-02-10,1971, CO
Aircraft accident,1971-02-11,1971, CA
Automobile accident,1971-02-11,1971, TX
Motorcycle accident,1971-02-14,1971, AL
Gunfire,1971-02-15,1971, NY
Gunfire,1971-02-15,1971, TX
Gunfire,1971-02-15,1971, TX
Gunfire,1971-02-15,1971, TX
Gunfire,1971-02-17,1971, OK
Gunfire,1971-02-19,1971, NY
Gunfire (Accidental),1971-02-20,1971, DC
Gunfire,1971-02-20,1971, FL
Gunfire,1971-02-20,1971, IN
Gunfire,1971-02-20,1971, IN
Gunfire,1971-02-20,1971, NY
Gunfire,1971-02-20,1971, PA
Gunfire,1971-02-21,1971, PA
Gunfire,1971-02-21,1971, PR
Gunfire,1971-02-21,1971, SC
Automobile accident,1971-02-22,1971, FL
Gunfire,1971-02-23,1971, MO
Gunfire,1971-02-25,1971, NC
Gunfire,1971-02-28,1971, TX
Gunfire,1971-03-03,1971, PA
Stabbed,1971-03-04,1971, CA
Automobile accident,1971-03-08,1971, LA
Gunfire,1971-03-10,1971, DC
Automobile accident,1971-03-10,1971, OH
Gunfire,1971-03-10,1971, TX
Gunfire,1971-03-11,1971, PR
Gunfire,1971-03-11,1971, PR
Gunfire,1971-03-21,1971, IL
Gunfire,1971-03-25,1971, TX
Fall,1971-03-28,1971, MD
Stabbed,1971-03-29,1971, AL
Gunfire,1971-03-30,1971, MO
Automobile accident,1971-03-30,1971, US
Automobile accident,1971-03-30,1971, US
Heart attack,1971-03-31,1971, WA
Stabbed,1971-04-01,1971, IL
Gunfire,1971-04-02,1971, CA
Gunfire,1971-04-02,1971, CA
Automobile accident,1971-04-03,1971, KS
Gunfire,1971-04-03,1971, OH
Gunfire,1971-04-03,1971, OK
Gunfire,1971-04-06,1971, MI
Gunfire,1971-04-06,1971, NY
Automobile accident,1971-04-07,1971, TN
Gunfire,1971-04-09,1971, NE
Gunfire,1971-04-11,1971, AL
Heart attack,1971-04-11,1971, CA
Gunfire,1971-04-22,1971, US
Gunfire,1971-04-22,1971, ND
Gunfire,1971-04-23,1971, CA
Stabbed,1971-04-24,1971, NJ
Gunfire,1971-04-26,1971, IN
Gunfire,1971-04-27,1971, CA
Gunfire,1971-04-29,1971, SC
Gunfire,1971-05-02,1971, KY
Gunfire,1971-05-02,1971, KY
Assault,1971-05-03,1971, MA
Automobile accident,1971-05-04,1971, CA
Gunfire,1971-05-05,1971, NY
Vehicular assault,1971-05-08,1971, KY
Gunfire,1971-05-11,1971, MO
Automobile accident,1971-05-14,1971, MI
Gunfire,1971-05-14,1971, OH
Gunfire,1971-05-14,1971, UT
Stabbed,1971-05-19,1971, CA
Gunfire,1971-05-21,1971, DC
Gunfire,1971-05-21,1971, NY
Gunfire,1971-05-21,1971, NY
Struck by vehicle,1971-05-21,1971, RI
Gunfire,1971-05-22,1971, CA
Gunfire,1971-05-23,1971, MI
Gunfire,1971-05-25,1971, DC
Heart attack,1971-05-27,1971, TX
Motorcycle accident,1971-06-03,1971, NY
Assault,1971-06-08,1971, TX
Gunfire,1971-06-12,1971, MD
Vehicle pursuit,1971-06-13,1971, AL
Vehicle pursuit,1971-06-13,1971, AL
Gunfire,1971-06-14,1971, CA
Gunfire,1971-06-14,1971, OK
Gunfire,1971-06-15,1971, SC
Gunfire,1971-06-16,1971, IL
Struck by vehicle,1971-06-20,1971, HI
Gunfire (Accidental),1971-06-24,1971, NC
Gunfire,1971-06-25,1971, VA
Automobile accident,1971-06-26,1971, GA
Gunfire,1971-06-30,1971, IA
Automobile accident,1971-07-01,1971, VI
Heart attack,1971-07-04,1971, AL
Gunfire,1971-07-04,1971, NJ
Gunfire,1971-07-08,1971, AL
Gunfire,1971-07-09,1971, CT
Automobile accident,1971-07-11,1971, AL
Gunfire,1971-07-14,1971, US
Gunfire,1971-07-20,1971, KY
Stabbed,1971-07-21,1971, CA
Assault,1971-07-23,1971, VA
Stabbed,1971-07-24,1971, NY
Automobile accident,1971-07-25,1971, NJ
Gunfire,1971-07-30,1971, AL
Gunfire,1971-07-30,1971, CA
Motorcycle accident,1971-08-02,1971, GA
Drowned,1971-08-03,1971, MD
Vehicle pursuit,1971-08-05,1971, GA
Vehicle pursuit,1971-08-05,1971, GA
Struck by vehicle,1971-08-06,1971, MA
Aircraft accident,1971-08-10,1971, IL
Aircraft accident,1971-08-13,1971, MN
Gunfire,1971-08-19,1971, MS
Gunfire,1971-08-20,1971, MI
Gunfire,1971-08-20,1971, TX
Gunfire,1971-08-21,1971, CA
Gunfire,1971-08-21,1971, CA
Gunfire,1971-08-21,1971, CA
Heart attack,1971-08-21,1971, DE
Gunfire,1971-08-21,1971, NY
Gunfire,1971-08-22,1971, TN
Gunfire,1971-08-23,1971, GA
Heart attack,1971-08-23,1971, NJ
Gunfire,1971-08-26,1971, MI
Gunfire,1971-08-26,1971, NY
Gunfire,1971-08-29,1971, CA
Gunfire,1971-08-30,1971, CA
Gunfire,1971-09-01,1971, MI
Motorcycle accident,1971-09-02,1971, CA
Gunfire,1971-09-03,1971, VA
Gunfire,1971-09-05,1971, NC
Vehicle pursuit,1971-09-08,1971, GA
Automobile accident,1971-09-10,1971, AZ
Assault,1971-09-11,1971, NY
Stabbed,1971-09-12,1971, NH
Assault,1971-09-13,1971, NY
Assault,1971-09-13,1971, NY
Gunfire,1971-09-13,1971, NY
Assault,1971-09-13,1971, NY
Assault,1971-09-13,1971, NY
Stabbed,1971-09-16,1971, CA
Gunfire,1971-09-16,1971, NJ
Heart attack,1971-09-16,1971, NY
Aircraft accident,1971-09-17,1971, TX
Aircraft accident,1971-09-17,1971, TX
Gunfire,1971-09-18,1971, NJ
Animal related,1971-09-22,1971, IL
Accidental,1971-09-22,1971, UT
Gunfire,1971-09-24,1971, US
Gunfire,1971-09-24,1971, WI
Gunfire,1971-09-25,1971, NY
Automobile accident,1971-09-26,1971, US
Gunfire,1971-09-27,1971, FL
Gunfire,1971-09-28,1971, TX
Gunfire,1971-10-01,1971, OR
Gunfire,1971-10-02,1971, PR
Gunfire,1971-10-03,1971, CO
Heart attack,1971-10-04,1971, NH
Gunfire,1971-10-05,1971, NC
Gunfire,1971-10-06,1971, CA
Gunfire,1971-10-06,1971, MO
Gunfire,1971-10-07,1971, CA
Assault,1971-10-09,1971, NY
Struck by vehicle,1971-10-11,1971, WV
Gunfire,1971-10-12,1971, CA
Struck by vehicle,1971-10-14,1971, MO
Struck by vehicle,1971-10-16,1971, NE
Gunfire,1971-10-19,1971, PA
Heart attack,1971-10-20,1971, CA
Gunfire,1971-10-25,1971, CA
Gunfire,1971-10-26,1971, MD
Gunfire,1971-10-27,1971, NH
Gunfire,1971-10-28,1971, TX
Gunfire (Accidental),1971-10-29,1971, VI
Heart attack,1971-11-01,1971, GA
Gunfire,1971-11-03,1971, GA
Automobile accident,1971-11-03,1971, NY
Automobile accident,1971-11-03,1971, NY
Gunfire,1971-11-05,1971, OR
Gunfire,1971-11-08,1971, NM
Struck by vehicle,1971-11-09,1971, WI
Gunfire,1971-11-10,1971, TX
Gunfire,1971-11-12,1971, IN
Aircraft accident,1971-11-17,1971, OR
Aircraft accident,1971-11-17,1971, OR
Gunfire,1971-11-17,1971, TX
Heart attack,1971-11-18,1971, ID
Gunfire,1971-11-19,1971, CA
Gunfire,1971-11-21,1971, MS
Motorcycle accident,1971-11-22,1971, AZ
Gunfire,1971-11-22,1971, VA
Automobile accident,1971-11-24,1971, NY
Gunfire,1971-11-26,1971, NY
Motorcycle accident,1971-11-27,1971, HI
Struck by vehicle,1971-11-29,1971, NJ
Gunfire,1971-11-29,1971, NY
Gunfire,1971-12-01,1971, NM
Vehicular assault,1971-12-02,1971, MI
Gunfire (Accidental),1971-12-03,1971, FL
Automobile accident,1971-12-03,1971, ID
Gunfire,1971-12-04,1971, DC
Gunfire,1971-12-05,1971, IA
Automobile accident,1971-12-05,1971, MD
Struck by train,1971-12-06,1971, OH
Vehicle pursuit,1971-12-07,1971, IL
Gunfire,1971-12-07,1971, KY
Heart attack,1971-12-07,1971, NY
Struck by vehicle,1971-12-07,1971, OK
Gunfire,1971-12-09,1971, PA
Struck by vehicle,1971-12-10,1971, TX
Gunfire,1971-12-12,1971, CA
Gunfire,1971-12-12,1971, MI
Electrocuted,1971-12-17,1971, AL
Gunfire,1971-12-18,1971, IL
Gunfire,1971-12-19,1971, KY
Gunfire,1971-12-20,1971, NY
Struck by vehicle,1971-12-20,1971, RI
Heart attack,1971-12-23,1971, PA
Gunfire,1971-12-24,1971, TX
Drowned,1971-12-27,1971, OK
Gunfire,1971-12-29,1971, NY
Vehicle pursuit,1971-12-31,1971, FL
Gunfire,1971-12-31,1971, MI
Gunfire,1971-12-31,1971, MI
Gunfire,1971-12-31,1971, MI
Vehicular assault,1972-01-01,1972, OH
Gunfire,1972-01-05,1972, DE
Struck by vehicle,1972-01-05,1972, TX
Gunfire,1972-01-06,1972, DE
Automobile accident,1972-01-08,1972, GA
Gunfire,1972-01-10,1972, GA
Gunfire,1972-01-10,1972, GA
Gunfire,1972-01-10,1972, LA
Gunfire,1972-01-10,1972, LA
Gunfire,1972-01-12,1972, NJ
Bomb,1972-01-13,1972, ID
Heart attack,1972-01-18,1972, IL
Gunfire,1972-01-21,1972, FL
Gunfire,1972-01-21,1972, NJ
Gunfire,1972-01-22,1972, GA
Gunfire,1972-01-27,1972, NY
Gunfire,1972-01-27,1972, NY
Gunfire,1972-01-28,1972, CA
Heart attack,1972-01-28,1972, CA
Gunfire,1972-02-01,1972, GA
Heart attack,1972-02-02,1972, NY
Gunfire,1972-02-04,1972, MN
Gunfire,1972-02-05,1972, WA
Gunfire,1972-02-06,1972, FL
Automobile accident,1972-02-06,1972, OH
Gunfire,1972-02-09,1972, PA
Gunfire (Accidental),1972-02-11,1972, NJ
Gunfire,1972-02-12,1972, FL
Assault,1972-02-12,1972, MA
Gunfire,1972-02-15,1972, US
Fall,1972-02-19,1972, PA
Stabbed,1972-02-20,1972, PR
Assault,1972-02-22,1972, PA
Gunfire,1972-02-24,1972, IN
Gunfire,1972-02-26,1972, GA
Stabbed,1972-02-28,1972, NJ
Gunfire,1972-02-29,1972, US
Gunfire,1972-03-09,1972, MD
Assault,1972-03-09,1972, MI
Automobile accident,1972-03-16,1972, FL
Gunfire,1972-03-18,1972, MO
Gunfire,1972-03-18,1972, NY
Vehicular assault,1972-03-18,1972, TX
Heart attack,1972-03-21,1972, NY
Gunfire,1972-03-22,1972, OH
Automobile accident,1972-03-25,1972, AL
Struck by train,1972-03-25,1972, ID
Gunfire,1972-03-25,1972, PA
Gunfire,1972-03-25,1972, PA
Gunfire,1972-03-25,1972, TX
Automobile accident,1972-03-27,1972, CA
Gunfire,1972-03-29,1972, PA
Struck by vehicle,1972-03-30,1972, TX
Fall,1972-03-31,1972, PA
Gunfire (Accidental),1972-04-03,1972, NY
Automobile accident,1972-04-03,1972, OH
Gunfire,1972-04-06,1972, AR
Gunfire,1972-04-06,1972, AR
Stabbed,1972-04-07,1972, OR
Drowned,1972-04-08,1972, KY
Drowned,1972-04-08,1972, KY
Gunfire,1972-04-12,1972, KY
Gunfire,1972-04-15,1972, AR
Gunfire,1972-04-16,1972, NC
Stabbed,1972-04-17,1972, LA
Gunfire (Accidental),1972-04-18,1972, PR
Vehicle pursuit,1972-04-19,1972, CA
Gunfire,1972-04-20,1972, NY
Gunfire,1972-04-21,1972, MO
Gunfire,1972-04-21,1972, MO
Automobile accident,1972-04-21,1972, OR
Gunfire,1972-05-02,1972, NC
Gunfire,1972-05-02,1972, TX
Gunfire,1972-05-05,1972, NC
Automobile accident,1972-05-06,1972, KY
Gunfire,1972-05-07,1972, TN
Automobile accident,1972-05-14,1972, IL
Gunfire (Accidental),1972-05-15,1972, MA
Gunfire,1972-05-18,1972, TX
Automobile accident,1972-05-19,1972, CA
Gunfire,1972-05-19,1972, TX
Gunfire,1972-05-19,1972, TX
Gunfire,1972-05-21,1972, OK
Automobile accident,1972-05-24,1972, CA
Gunfire,1972-05-24,1972, IL
Gunfire,1972-05-24,1972, VA
Struck by vehicle,1972-05-30,1972, MS
Automobile accident,1972-05-31,1972, LA
Gunfire,1972-06-01,1972, IL
Motorcycle accident,1972-06-01,1972, LA
Automobile accident,1972-06-03,1972, DE
Stabbed,1972-06-08,1972, IA
Gunfire,1972-06-09,1972, OK
Drowned,1972-06-09,1972, SD
Gunfire,1972-06-10,1972, GA
Automobile accident,1972-06-13,1972, AZ
Gunfire,1972-06-13,1972, SD
Gunfire (Accidental),1972-06-14,1972, TX
Assault,1972-06-17,1972, NY
Stabbed,1972-06-17,1972, TX
Gunfire,1972-06-20,1972, LA
Drowned,1972-06-21,1972, PA
Vehicular assault,1972-06-23,1972, NY
Gunfire,1972-06-23,1972, TX
Gunfire,1972-06-25,1972, MN
Vehicle pursuit,1972-06-26,1972, IN
Drowned,1972-06-27,1972, PA
Gunfire (Accidental),1972-06-28,1972, NY
Gunfire,1972-06-28,1972, TN
Heart attack,1972-06-29,1972, PA
Gunfire,1972-06-29,1972, TX
Vehicle pursuit,1972-07-02,1972, GA
Vehicle pursuit,1972-07-02,1972, NC
Gunfire (Accidental),1972-07-04,1972, CA
Automobile accident,1972-07-05,1972, VA
Gunfire,1972-07-17,1972, NY
Gunfire,1972-07-18,1972, TX
Gunfire,1972-07-20,1972, US
Fire,1972-07-21,1972, OH
Gunfire,1972-07-22,1972, OH
Heart attack,1972-07-23,1972, NY
Gunfire,1972-07-24,1972, CA
Gunfire,1972-07-26,1972, MD
Vehicular assault,1972-07-26,1972, TX
Gunfire,1972-07-28,1972, CO
Struck by vehicle,1972-07-28,1972, OR
Automobile accident,1972-07-28,1972, SC
Automobile accident,1972-07-28,1972, TX
Gunfire,1972-07-30,1972, OK
Gunfire,1972-07-31,1972, MA
Gunfire,1972-07-31,1972, MA
Gunfire,1972-07-31,1972, MI
Gunfire,1972-08-03,1972, CA
Vehicle pursuit,1972-08-04,1972, CA
Gunfire,1972-08-04,1972, WV
Gunfire,1972-08-05,1972, CA
Fire,1972-08-06,1972, OH
Vehicle pursuit,1972-08-08,1972, KY
Heart attack,1972-08-13,1972, OH
Heart attack,1972-08-16,1972, AL
Gunfire,1972-08-16,1972, MN
Fire,1972-08-17,1972, TX
Gunfire,1972-08-20,1972, MS
Gunfire,1972-08-21,1972, WV
Gunfire,1972-08-26,1972, WI
Struck by vehicle,1972-08-27,1972, CA
Gunfire,1972-08-28,1972, OH
Automobile accident,1972-08-31,1972, PR
Struck by vehicle,1972-08-31,1972, TN
Gunfire,1972-09-02,1972, PA
Gunfire,1972-09-04,1972, PR
Automobile accident,1972-09-08,1972, CA
Vehicle pursuit,1972-09-09,1972, TN
Gunfire,1972-09-10,1972, IN
Vehicular assault,1972-09-10,1972, MI
Gunfire,1972-09-12,1972, MS
Gunfire,1972-09-13,1972, OH
Gunfire,1972-09-15,1972, KS
Gunfire,1972-09-18,1972, OK
Gunfire,1972-09-21,1972, CA
Gunfire,1972-09-23,1972, CA
Automobile accident,1972-09-24,1972, AL
Vehicle pursuit,1972-09-24,1972, TN
Vehicle pursuit,1972-09-24,1972, TN
Drowned,1972-09-25,1972, DC
Aircraft accident,1972-09-27,1972, ME
Gunfire,1972-09-27,1972, NC
Automobile accident,1972-09-29,1972, GA
Automobile accident,1972-09-29,1972, KY
Struck by vehicle,1972-09-29,1972, NJ
Gunfire,1972-09-30,1972, MN
Gunfire,1972-09-30,1972, NC
Stabbed,1972-10-01,1972, IL
Gunfire (Accidental),1972-10-02,1972, IL
Struck by vehicle,1972-10-03,1972, CA
Struck by vehicle,1972-10-05,1972, PA
Stabbed,1972-10-05,1972, WV
Gunfire,1972-10-06,1972, CA
Automobile accident,1972-10-07,1972, PA
Gunfire,1972-10-08,1972, KY
Gunfire,1972-10-08,1972, SC
Gunfire,1972-10-12,1972, MI
Gunfire,1972-10-12,1972, US
Vehicle pursuit,1972-10-13,1972, CO
Vehicular assault,1972-10-14,1972, OH
Gunfire,1972-10-16,1972, AL
Gunfire,1972-10-16,1972, PA
Gunfire,1972-10-21,1972, OH
Struck by vehicle,1972-10-22,1972, NY
Gunfire,1972-10-25,1972, OH
Gunfire,1972-10-25,1972, VA
Gunfire,1972-10-26,1972, TX
Aircraft accident,1972-10-28,1972, MD
Aircraft accident,1972-10-28,1972, MD
Fire,1972-10-29,1972, US
Vehicular assault,1972-11-01,1972, TN
Gunfire,1972-11-01,1972, WY
Gunfire,1972-11-02,1972, IN
Gunfire,1972-11-05,1972, FL
Vehicle pursuit,1972-11-15,1972, FL
Gunfire,1972-11-15,1972, PA
Gunfire,1972-11-15,1972, PA
Automobile accident,1972-11-17,1972, IL
Automobile accident,1972-11-17,1972, IL
Gunfire,1972-11-18,1972, FL
Gunfire,1972-11-19,1972, AK
Gunfire,1972-11-22,1972, OH
Stabbed,1972-11-27,1972, IL
Fire,1972-11-28,1972, NJ
Automobile accident,1972-11-30,1972, DE
Automobile accident,1972-12-01,1972, US
Vehicular assault,1972-12-02,1972, DC
Heart attack,1972-12-02,1972, FL
Gunfire,1972-12-02,1972, MO
Gunfire,1972-12-02,1972, NC
Gunfire,1972-12-02,1972, NC
Drowned,1972-12-08,1972, FL
Gunfire,1972-12-08,1972, MI
Gunfire,1972-12-10,1972, AL
Gunfire,1972-12-10,1972, AL
Vehicle pursuit,1972-12-12,1972, TX
Gunfire,1972-12-12,1972, VT
Gunfire,1972-12-15,1972, MO
Gunfire,1972-12-17,1972, LA
Automobile accident,1972-12-18,1972, MA
Aircraft accident,1972-12-19,1972, VA
Aircraft accident,1972-12-19,1972, VA
Struck by vehicle,1972-12-20,1972, OK
Automobile accident,1972-12-21,1972, NC
